Siruta,SirutaPeriurban,D_Ln_PopAdj,D_Ln_Emp,D_Ln_EmpPrivat,D_Ln_EmpPublic,D_Ln_PIT,D_Ln_Turnover,Cluster,LocalityType,Region,CoreEconomy,RegionLabel,RegionID
1017,1017,0.0171,0.104,0.1204,-0.0298,0.0167,0.4852,Services,Core,Transylvania,A_NC,Transylvania,Transylvania
1071,1017,0.0595,0.1152,0.1255,-0.2048,1.017,0.6351,Services,Periurban,Transylvania,Services,Transylvania,Transylvania
1151,1151,-0.0839,-0.3283,-0.3996,-0.0741,0.3381,0.2283,Comerce,Core,Transylvania,A_NC,Transylvania,Transylvania
1213,1213,-0.0527,-0.0353,-0.0257,-0.0968,0.1323,0.6786,Agriculture,Core,Transylvania,A_NC,Transylvania,Transylvania
1348,1348,-0.0314,0.4945,0.5581,-0.0167,0.1409,1.5926,Industry,Core,Transylvania,A_NC,Transylvania,Transylvania
1455,1455,-0.0749,-0.1343,-0.1272,-0.1611,0.1591,-0.0128,A_Shrinking,Core,Transylvania,A_NC,Transylvania,Transylvania
1696,1696,-0.0713,0.1345,0.148,-0.039,0.3388,0.5778,Industry,Core,Transylvania,A_NC,Transylvania,Transylvania
1794,1213,-0.0665,0.2364,0.2972,-0.1654,0.528,0.8601,Industry,Periurban,Transylvania,Agriculture,Transylvania,Transylvania
1874,1017,0.0024,0.1846,0.1972,-0.0109,0.3586,1.0956,Industry,Periurban,Transylvania,Services,Transylvania,Transylvania
1936,1936,-0.0491,0.0501,0.0753,-0.1471,0.1088,0.2792,Agriculture,Core,Transylvania,A_NC,Transylvania,Transylvania
2130,1455,-0.0555,0.4087,0.641,-0.023,0.607,0.5973,Industry,Periurban,Transylvania,A_Shrinking,Transylvania,Transylvania
2309,1936,-0.0919,0.6109,0.7472,0,0.2323,0.9717,Agriculture,Periurban,Transylvania,Agriculture,Transylvania,Transylvania
2381,1,-0.0695,0.2027,0.3441,-0.0953,0.9298,1.2149,Services,A_Village,Transylvania,A_NC,Transylvania,Transylvania
2577,1,-0.1089,0.0541,0.3959,-0.4329,0.5296,1.073,Agriculture,A_Village,Transylvania,A_NC,Transylvania,Transylvania
2915,2915,-0.1161,-0.2642,-0.2492,-0.3533,-0.1677,0.2355,Services,Core,Transylvania,A_NC,Transylvania,Transylvania
2988,1,-0.0556,-0.1125,-0.1495,0,0.2455,-0.5072,Industry,A_Village,Transylvania,A_NC,Transylvania,Transylvania
3039,1455,-0.0536,-0.1513,-0.1472,-0.19,0.6199,-0.201,Comerce,Periurban,Transylvania,A_Shrinking,Transylvania,Transylvania
3397,1,-0.0996,0.2942,0.346,-0.5108,0.7302,0.4528,Industry,A_Village,Transylvania,A_NC,Transylvania,Transylvania
3459,1936,-0.0896,0.0206,0.1431,-0.1466,0.0714,-0.7896,Industry,Periurban,Transylvania,Agriculture,Transylvania,Transylvania
3761,1,0.0031,1.4816,3.5835,-0.1178,0.5874,2.6218,Agriculture,A_Village,Transylvania,A_NC,Transylvania,Transylvania
3805,1348,-0.0233,-0.3295,-0.5281,0,-0.1888,0.0968,Comerce,Periurban,Transylvania,Industry,Transylvania,Transylvania
3841,89561,-0.1645,0.3567,0,0.3567,0.8685,-1.8526,A_Shrinking,Periurban,Transylvania,Comerce,Transylvania,Transylvania
3958,1,-0.03,0.3588,0.5543,0.0241,0.4062,2.4347,Agriculture,A_Village,Transylvania,A_NC,Transylvania,Transylvania
4008,1151,-0.0775,-0.0551,-0.1719,0.1542,0.4652,-0.2524,A_Shrinking,Periurban,Transylvania,Comerce,Transylvania,Transylvania
4106,1,0.0354,-0.5059,-0.8303,-0.1892,0.3154,0.0757,Services,A_Village,Transylvania,A_NC,Transylvania,Transylvania
4142,1017,-0.0144,0.2927,0.4387,-0.1382,0.1542,0.645,Services,Periurban,Transylvania,Services,Transylvania,Transylvania
4188,1348,0.0225,-0.0296,0.036,-0.3365,-0.0438,1.8211,Industry,Periurban,Transylvania,Industry,Transylvania,Transylvania
4240,1017,-0.0051,0.8381,1.046,-0.2097,0.3045,0.9931,Industry,Periurban,Transylvania,Services,Transylvania,Transylvania
4268,144928,-0.014,-0.497,-0.6235,-0.091,0.7952,0.1048,A_Shrinking,Periurban,Transylvania,Industry,Transylvania,Transylvania
4302,1,-0.0927,0.2831,0.449,0.0392,1.1129,1.3655,Comerce,A_Village,Transylvania,A_NC,Transylvania,Transylvania
4366,1017,-0.0061,0.009,0.0088,0.0121,0.2141,0.6534,Industry,Periurban,Transylvania,Services,Transylvania,Transylvania
4482,144928,-0.0146,0.4733,0.6707,0.0924,0.1138,1.6969,Agriculture,Periurban,Transylvania,Industry,Transylvania,Transylvania
4525,1,-0.0846,0,0.0426,-0.2048,-0.8183,1.0039,Agriculture,A_Village,Transylvania,A_NC,Transylvania,Transylvania
4703,1,-0.048,0.0723,0.3137,-0.2113,0.7803,2.5363,Agriculture,A_Village,Transylvania,A_NC,Transylvania,Transylvania
4767,1,-0.0818,0.2252,0.4443,-0.2231,-0.2364,0.6219,Comerce,A_Village,Transylvania,A_NC,Transylvania,Transylvania
