"","SIRUTA","Yhat.MS7"
"1400","166235",-0.00675817742705617
"1348","163002",-0.0420086469253281
"1392","165719",-0.0298049495857681
"1352","163253",-0.0533250012772835
"1347","162924",-0.0852685592564081
"1331","161856",-0.0476203524903758
"1338","162381",-0.0259970778347902
"1379","164892",-0.0814365665535305
"1360","163734",-0.0360082069503286
"1357","163618",-0.0654386054672981
"1335","162149",-0.089822350821011
"1394","165899",-0.0640894992598685
"1412","167071",-0.0312884528228389
"1346","162871",-0.0847590573631935
"1410","166985",-0.0126770947699516
"1384","165130",-0.0124084578462548
"1359","163681",-0.0814853616440632
"1365","164062",-0.0357647818692358
"1396","166057",-0.0261015141951816
"1401","166315",-0.0737445512183002
"1391","165611",-0.0475202310439204
"1395","165979",-0.0683339555694684
"1330","161829",-0.0914726883761557
"1371","164393",-0.0685598282213481
"1332","161945",-0.0430598441373299
"1339","162452",-0.0201915030011495
"1351","163208",-0.0859269605960998
"1356","163486",-0.0583301903134233
"1383","165069",-0.0843192322459847
"1385","165185",-0.0780862860801437
"1387","165336",-0.0621216529252468
"1380","164936",-0.027925135350442
"1369","164277",-0.102187498936595
"1377","164749",-0.0845458632237714
"1367","164197",-0.0872164592903711
"1375","164687",-0.040712450495403
"1409","166869",-0.0652988991295124
"1364","163967",-0.0636912356511579
"1342","162595",-0.0653747327850049
"1354","163324",-0.0588758584204713
"1333","162014",-0.0734925555833157
"1350","163137",-0.0683728791602819
"1411","167035",-0.0843356571646237
"1344","162791",-0.0595974521116517
"1389","165470",-0.0647926085759997
"1406","166672",-0.094376162808388
"1343","162693",-0.0633591045885334
"1393","165817",-0.0681025388443491
"1340","162498",-0.0838122753575789
"1370","164339",-0.059478330706777
"1336","162194",-0.050039777482228
"1363","163903",-0.0550102783956568
"1388","165416",-0.038482250104293
"1362","163832",-0.0505063749019563
"1337","162327",-0.0403428793132675
"1349","163057",-0.0609458718606503
"1398","166137",-0.0567630499378393
"1413","167179",-0.0130139811356403
"1381","164981",-0.0760450744386255
"1361","163789",-0.0260554052947466
"1329","161794",-0.0407136226830626
"1378","164829",-0.0566594661800638
"1408","166770",-0.0553550709907108
"1341","162559",-0.0817875276379854
"1386","165274",-0.0162742510651998
"1418","167268",-0.0177589423597685
"1419","167277",-0.0359141224216167
"1355","163379",-0.0584496452800854
"1420","167286",-0.0431969584272536
"1407","166707",-0.0684688068840527
"1405","166636",-0.0487564805887956
"1421","167295",-0.0395936166347489
"1366","164133",-0.0338098694127776
"1415","167231",-0.0412702916101711
"1414","167222",-0.0351465233920267
"1334","162069",-0.05968803845607
"1422","167302",-0.00994710044114166
"1399","166182",-0.0581479282340352
"1423","167311",-0.0129816623440761
"1403","166529",-0.0370354507469581
"1417","167259",-0.0595089164499662
"1373","164543",-0.0607924116596803
"1374","164598",-0.0541606244356972
"1424","167320",-0.0237460597963772
"1416","167240",-0.0318219095354221
"1402","166413",-0.018693662839846
"1546","175787",-0.07610671045508
"1537","175260",-0.0734618916263785
"1529","174860",-0.032763282010293
"1581","177879",-0.0594875157354979
"1573","177557",-0.0334036937051689
"1543","175670",-0.054347674856238
"1550","176150",-0.047230712102152
"1567","177236",-0.0431722176368311
"1570","177352",-0.00454089096770173
"1578","177762",-0.0668201939903247
"1571","177405",-0.0608153550277693
"1561","176793",-0.0153405413638948
"1579","177799",-0.0520975836579857
"1592","178545",-0.0685682082419311
"1589","178377",-0.0584533851235913
"1530","174922",-0.0320699511055851
"1533","175055",-0.00958804953334634
"1585","178180",-0.0271120335363593
"1588","178313",-0.0622830640913896
"1538","175368",-0.0302982885025233
"1595","178750",-0.064960931183741
"1559","176686",-0.0439517554516476
"1572","177469",-0.061138959273292
"1563","176891",-0.0671449961269087
"1565","177003",-0.0641381055363475
"1552","176212",-0.0241391222656219
"1556","176506",-0.0194020683907834
"1540","175466",-0.0199664732044352
"1532","175019",0.00925680949174499
"1593","178607",0.0293314917211652
"1534","175126",-0.062860361320179
"1594","178689",0.00147995344652248
"1527","174780",0.0170617325631022
"1526","174744",-0.0230385805633892
"1564","176944",-0.0766795611357813
"1569","177263",-0.048543917222786
"1544","175732",-0.0234085837496744
"1554","176338",-0.0528350495365668
"1547","175885",-0.0112420444449279
"1528","174824",-0.00300917183007479
"1596","178821",-0.0623155782206001
"1541","175509",-0.074450863559831
"1590","178475",-0.0764648315698074
"1577","177726",-0.0226464098098347
"1549","175983",-0.0524586309314179
"1562","176855",-0.0659662552916945
"1557","176551",-0.0639215191036755
"1553","176301",-0.0371836381625678
"1582","177986",-0.0640709362475957
